timestamp,PM2_5,PM10,Temperatura,Humedad,Presion,CO2,Latitud,Longitud
2024-01-01 00:00:00,20.5.11,67.39,22.1,77,1002.31,459,-8.1098,-79.0238
2024-01-01 01:00:00,43.94,89.67,23.0,86,1003.47,547,-8.1098,-79.0238
2024-01-01 02:00:00,47.92,102.29,20.4,79,1011.06,556,-8.1098,-79.0238
2024-01-01 03:00:00,35.58,85.97,23.5,81,1011.64,604,-8.1098,-79.0238
2024-01-01 04:00:00,36.59,65.19,22.6,78,1004.15,663,-8.1098,-79.0238
2024-01-01 05:00:00,39.67,68.95,24.2,82,1011.52,627,-8.1098,-79.0238
2024-01-01 06:00:00,45.71,107.45,26.1,78,1002.78,637,-8.1098,-79.0238
2024-01-01 07:00:00,42.61,102.27,21.5,77,1006.48,636,-8.1098,-79.0238
2024-01-01 08:00:00,44.78,85.94,24.4,79,1015.18,649,-8.1098,-79.0238
2024-01-01 09:00:00,46.67,70.65,23.4,76,1004.92,608,-8.1098,-79.0238
2024-01-01 10:00:00,40.72,77.87,24.3,71,1009.72,535,-8.1098,-79.0238
2024-01-01 11:00:00,38.43,89.06,22.3,83,1008.35,559,-8.1098,-79.0238
2024-01-01 12:00:00,47.97,103.25,21.0,81,1005.78,492,-8.1098,-79.0238
2024-01-01 13:00:00,42.2,85.36,24.0,76,1017.37,475,-8.1098,-79.0238
2024-01-01 14:00:00,36.83,69.22,25.3,94,1008.35,450,-8.1098,-79.0238
2024-01-01 15:00:00,15.13,31.95,24.1,85,1008.09,450,-8.1098,-79.0238
2024-01-01 16:00:00,29.77,54.51,22.7,81,1003.92,450,-8.1098,-79.0238
2024-01-01 17:00:00,26.7,66.08,22.3,88,1009.26,450,-8.1098,-79.0238
2024-01-01 18:00:00,22.35,47.79,23.1,84,1009.74,450,-8.1098,-79.0238
2024-01-01 19:00:00,25.31,60.42,26.2,83,1009.98,450,-8.1098,-79.0238
2024-01-01 20:00:00,28.23,61.05,23.4,79,1007.45,450,-8.1098,-79.0238
2024-01-01 21:00:00,28.22,64.08,19.7,82,1003.82,450,-8.1098,-79.0238
2024-01-01 22:00:00,26.68,48.54,22.1,79,1006.97,450,-8.1098,-79.0238
2024-01-01 23:00:00,29.16,66.17,20.7,80,1009.47,450,-8.1098,-79.0238
2024-01-02 00:00:00,41.07,72.05,18.8,81,1010.48,489,-8.1098,-79.0238
2024-01-02 01:00:00,29.92,54.04,19.2,76,1002.37,578,-8.1098,-79.0238
2024-01-02 02:00:00,47.16,93.19,24.8,78,1002.6,596,-8.1098,-79.0238
2024-01-02 03:00:00,37.45,77.47,20.4,77,1009.94,600,-8.1098,-79.0238
2024-01-02 04:00:00,39.34,63.29,27.3,83,1005.95,676,-8.1098,-79.0238
2024-01-02 05:00:00,37.79,91.75,22.5,79,1004.19,621,-8.1098,-79.0238
2024-01-02 06:00:00,47.34,110.79,21.9,74,1009.57,659,-8.1098,-79.0238
2024-01-02 07:00:00,45.08,91.6,19.3,92,1007.74,654,-8.1098,-79.0238
2024-01-02 08:00:00,41.68,75.27,22.1,88,1016.55,571,-8.1098,-79.0238
2024-01-02 09:00:00,37.45,73.85,20.2,85,1011.59,559,-8.1098,-79.0238
2024-01-02 10:00:00,41.63,92.18,23.0,79,1006.78,562,-8.1098,-79.0238
2024-01-02 11:00:00,43.04,66.81,23.5,74,1010.12,539,-8.1098,-79.0238
2024-01-02 12:00:00,31.54,58.94,22.5,80,1006.2,491,-8.1098,-79.0238
2024-01-02 13:00:00,30.52,71.29,23.7,75,1000.48,472,-8.1098,-79.0238
2024-01-02 14:00:00,30.33,50.37,21.8,84,1004.16,450,-8.1098,-79.0238
2024-01-02 15:00:00,26.14,40.96,20.9,88,1010.05,450,-8.1098,-79.0238
2024-01-02 16:00:00,20.55,49.12,22.5,79,1005.85,450,-8.1098,-79.0238
2024-01-02 17:00:00,25.23,44.91,22.4,78,1007.77,450,-8.1098,-79.0238
2024-01-02 18:00:00,24.83,51.49,26.0,73,1010.86,450,-8.1098,-79.0238
2024-01-02 19:00:00,22.91,42.2,18.7,80,1016.85,450,-8.1098,-79.0238
2024-01-02 20:00:00,22.35,44.43,19.8,83,1008.8,450,-8.1098,-79.0238
2024-01-02 21:00:00,23.53,46.6,18.2,81,1008.65,450,-8.1098,-79.0238
2024-01-02 22:00:00,28.67,70.12,20.3,74,1012.58,450,-8.1098,-79.0238
2024-01-02 23:00:00,33.57,66.01,23.6,81,1006.4,464,-8.1098,-79.0238
2024-01-03 00:00:00,36.68,71.42,23.5,72,1008.3,520,-8.1098,-79.0238
2024-01-03 01:00:00,43.43,67.52,20.0,78,1013.28,482,-8.1098,-79.0238
2024-01-03 02:00:00,45.46,69.57,23.3,86,1010.11,589,-8.1098,-79.0238
2024-01-03 03:00:00,39.56,90.63,17.5,81,1010.17,679,-8.1098,-79.0238
2024-01-03 04:00:00,49.01,73.78,21.6,78,1006.87,644,-8.1098,-79.0238
2024-01-03 05:00:00,44.0,73.71,24.1,89,1014.45,636,-8.1098,-79.0238
2024-01-03 06:00:00,42.89,92.04,22.8,73,1007.88,705,-8.1098,-79.0238
2024-01-03 07:00:00,52.69,120.0,23.5,84,1013.03,640,-8.1098,-79.0238
2024-01-03 08:00:00,46.13,109.89,24.4,85,1009.9,626,-8.1098,-79.0238
2024-01-03 09:00:00,46.99,97.5,24.9,76,1012.88,560,-8.1098,-79.0238
2024-01-03 10:00:00,37.78,63.58,19.6,80,1010.29,515,-8.1098,-79.0238
2024-01-03 11:00:00,43.41,100.9,23.1,78,1004.77,549,-8.1098,-79.0238
2024-01-03 12:00:00,37.79,67.78,20.3,85,1008.77,477,-8.1098,-79.0238
2024-01-03 13:00:00,34.33,82.53,20.4,84,1003.03,483,-8.1098,-79.0238
2024-01-03 14:00:00,37.16,59.94,22.0,84,1005.89,465,-8.1098,-79.0238
2024-01-03 15:00:00,29.04,61.87,21.6,84,1007.42,450,-8.1098,-79.0238
2024-01-03 16:00:00,30.05,55.46,18.4,77,998.5,450,-8.1098,-79.0238
2024-01-03 17:00:00,21.02,43.92,18.1,76,1008.05,450,-8.1098,-79.0238
2024-01-03 18:00:00,30.09,55.32,25.0,81,1012.42,450,-8.1098,-79.0238
2024-01-03 19:00:00,28.47,60.19,19.6,85,1007.93,450,-8.1098,-79.0238
2024-01-03 20:00:00,24.61,59.76,22.9,77,1009.99,450,-8.1098,-79.0238
2024-01-03 21:00:00,31.03,66.35,21.3,75,996.44,450,-8.1098,-79.0238
2024-01-03 22:00:00,28.92,71.66,18.4,86,1010.81,450,-8.1098,-79.0238
2024-01-03 23:00:00,37.91,84.63,19.5,89,1004.17,475,-8.1098,-79.0238
2024-01-04 00:00:00,39.5,73.27,21.8,85,1000.69,486,-8.1098,-79.0238
2024-01-04 01:00:00,39.91,98.5,21.5,88,1012.18,543,-8.1098,-79.0238
